country_iso3,country_name,region,income_group
MHL,Marshall Islands,East Asia and Pacific,Upper-middle income
MKD,North Macedonia,Europe and Central Asia,Upper-middle income
MLI,Mali,Sub-Saharan Africa,Low income
MLT,Malta,"Middle East, North Africa, Afghanistan and Pakistan",High income
MMR,Myanmar,East Asia and Pacific,Lower-middle income
MNE,Montenegro,Europe and Central Asia,Upper-middle income
MNG,Mongolia,East Asia and Pacific,Upper-middle income
MNP,Northern Mariana Islands,East Asia and Pacific,High income
MOZ,Mozambique,Sub-Saharan Africa,Low income
MRT,Mauritania,Sub-Saharan Africa,Lower-middle income
MUS,Mauritius,Sub-Saharan Africa,Upper-middle income
MWI,Malawi,Sub-Saharan Africa,Low income
MYS,Malaysia,East Asia and Pacific,Upper-middle income
NAM,Namibia,Sub-Saharan Africa,Lower-middle income
NCL,New Caledonia,East Asia and Pacific,High income
NER,Niger,Sub-Saharan Africa,Low income
NGA,Nigeria,Sub-Saharan Africa,Lower-middle income
NIC,Nicaragua,Latin America & the Caribbean,Lower-middle income
NLD,Netherlands,Europe and Central Asia,High income
NOR,Norway,Europe and Central Asia,High income
NPL,Nepal,South Asia,Lower-middle income
NRU,Nauru,East Asia and Pacific,High income
NZL,New Zealand,East Asia and Pacific,High income
OMN,Oman,"Middle East, North Africa, Afghanistan and Pakistan",High income
PAK,Pakistan,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income
PAN,Panama,Latin America & the Caribbean,High income
PER,Peru,Latin America & the Caribbean,Upper-middle income
PHL,Philippines,East Asia and Pacific,Upper-middle income
PLW,Palau,East Asia and Pacific,High income
PNG,Papua New Guinea,East Asia and Pacific,Lower-middle income
POL,Poland,Europe and Central Asia,High income
PRI,Puerto Rico,Latin America & the Caribbean,High income
PRK,"Korea, Dem. People's Rep.",East Asia and Pacific,Low income
PRT,Portugal,Europe and Central Asia,High income
PRY,Paraguay,Latin America & the Caribbean,Upper-middle income
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income
PYF,French Polynesia,East Asia and Pacific,High income
QAT,Qatar,"Middle East, North Africa, Afghanistan and Pakistan",High income
ROU,Romania,Europe and Central Asia,High income
RUS,Russian Federation,Europe and Central Asia,High income
RWA,Rwanda,Sub-Saharan Africa,Low income
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan and Pakistan",High income
SDN,Sudan,Sub-Saharan Africa,Low income
SEN,Senegal,Sub-Saharan Africa,Lower-middle income
SGP,Singapore,East Asia and Pacific,High income
SLB,Solomon Islands,East Asia and Pacific,Lower-middle income
SLE,Sierra Leone,Sub-Saharan Africa,Low income
SLV,El Salvador,Latin America & the Caribbean,Upper-middle income
SMR,San Marino,Europe and Central Asia,High income
SOM,Somalia,Sub-Saharan Africa,Low income
SRB,Serbia,Europe and Central Asia,Upper-middle income
SSD,South Sudan,Sub-Saharan Africa,Low income
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower-middle income
SUR,Suriname,Latin America & the Caribbean,Upper-middle income
SVK,Slovak Republic,Europe and Central Asia,High income
SVN,Slovenia,Europe and Central Asia,High income
SWZ,Eswatini,Sub-Saharan Africa,Lower-middle income
SXM,Sint Maarten (Dutch part),Latin America & the Caribbean,High income
SYC,Seychelles,Sub-Saharan Africa,High income
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan and Pakistan",Low income
TCA,Turks and Caicos Islands,Latin America & the Caribbean,High income
TCD,Chad,Sub-Saharan Africa,Low income
TGO,Togo,Sub-Saharan Africa,Lower-middle income
THA,Thailand,East Asia and Pacific,Upper-middle income
TJK,Tajikistan,Europe and Central Asia,Lower-middle income
TKM,Turkmenistan,Europe and Central Asia,Upper-middle income
TLS,Timor-Leste,East Asia and Pacific,Lower-middle income
TON,Tonga,East Asia and Pacific,Upper-middle income
TTO,Trinidad and Tobago,Latin America & the Caribbean,High income
TUN,Tunisia,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income
TUR,Turkiye,Europe and Central Asia,Upper-middle income
TUV,Tuvalu,East Asia and Pacific,Upper-middle income
TWN,"Taiwan, China",East Asia and Pacific,High income
TZA,Tanzania,Sub-Saharan Africa,Lower-middle income
UGA,Uganda,Sub-Saharan Africa,Low income
UKR,Ukraine,Europe and Central Asia,Upper-middle income
URY,Uruguay,Latin America & the Caribbean,High income
USA,United States,North America,High income
UZB,Uzbekistan,Europe and Central Asia,Lower-middle income
VCT,St. Vincent and the Grenadines,Latin America & the Caribbean,Upper-middle income
VEN,"Venezuela, RB",Latin America & the Caribbean,Lower-middle income
VGB,British Virgin Islands,Latin America & the Caribbean,High income
VIR,Virgin Islands (U.S.),Latin America & the Caribbean,High income
VNM,Viet Nam,East Asia and Pacific,Upper-middle income
VUT,Vanuatu,Sub-Saharan Africa,Lower-middle income
WSM,Samoa,East Asia and Pacific,Upper-middle income
XKX,Kosovo,Europe and Central Asia,Upper-middle income
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan and Pakistan",Low income
ZAF,South Africa,Sub-Saharan Africa,Upper-middle income
ZMB,Zambia,Sub-Saharan Africa,Lower-middle income
ZWE,Zimbabwe,Sub-Saharan Africa,Lower-middle income
